,name,date,team,opponent,min,g,ass,tp,tpint,dis,dap,ta,tr,toques,tkl,interceps,blocks,xg,npxg,xag,act,acg,cmp,int_pass,po_cmp,prog,reg_success,reg_int
56,Aaron Cresswell,2021-05-23,West Ham,Southampton,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,1.0,0.0,0.0,0.1,3.0,1.0,38.0,56.0,67.9,4.0,1.0,1.0
57,Aaron Cresswell,2021-08-15,West Ham,Newcastle Utd,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,93.0,4.0,1.0,2.0,0.1,0.1,0.1,2.0,0.0,69.0,81.0,85.2,6.0,0.0,1.0
58,Aaron Cresswell,2021-08-23,West Ham,Leicester City,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.0,1.0,0.0,1.0,0.1,0.1,0.0,2.0,1.0,64.0,77.0,83.1,4.0,0.0,0.0
59,Aaron Cresswell,2021-08-28,West Ham,Crystal Palace,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,2.0,1.0,0.0,0.0,0.1,2.0,0.0,45.0,65.0,69.2,5.0,0.0,1.0
60,Aaron Cresswell,2021-09-11,West Ham,Southampton,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,0.1,0.1,0.1,4.0,0.0,58.0,67.0,86.6,3.0,0.0,0.0
61,Aaron Cresswell,2021-09-19,West Ham,Manchester Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,50.0,62.0,80.6,4.0,1.0,1.0
62,Aaron Cresswell,2021-09-25,West Ham,Leeds United,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,1.0,0.0,2.0,0.1,0.1,0.1,3.0,0.0,36.0,52.0,69.2,4.0,0.0,0.0
63,Aaron Cresswell,2021-10-03,West Ham,Brentford,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,1.0,1.0,0.0,0.0,0.3,5.0,1.0,73.0,95.0,76.8,11.0,0.0,0.0
64,Aaron Cresswell,2021-10-17,West Ham,Everton,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,111.0,70.3,5.0,0.0,0.0
65,Aaron Cresswell,2021-10-24,West Ham,Tottenham,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,2.0,1.0,2.0,0.0,0.0,0.3,2.0,1.0,44.0,62.0,71.0,3.0,0.0,0.0
66,Aaron Cresswell,2021-10-31,West Ham,Aston Villa,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,1.0,1.0,0.0,0.1,0.1,0.2,4.0,0.0,58.0,66.0,87.9,7.0,0.0,0.0
67,Aaron Cresswell,2021-11-07,West Ham,Liverpool,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,46.0,73.9,3.0,1.0,1.0
68,Aaron Cresswell,2021-11-20,West Ham,Wolves,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1.0,1.0,2.0,0.0,0.0,0.3,2.0,0.0,66.0,81.0,81.5,8.0,1.0,2.0
69,Aaron Cresswell,2021-11-28,West Ham,Manchester City,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,16.0,19.0,84.2,2.0,0.0,0.0
70,Aaron Cresswell,2022-01-12,West Ham,Norwich City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,1.0,0.0,0.0,0.2,2.0,1.0,70.0,91.0,76.9,4.0,2.0,5.0
71,Aaron Cresswell,2022-01-16,West Ham,Leeds United,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,1.0,1.0,0.0,0.0,0.7,7.0,1.0,44.0,60.0,73.3,2.0,1.0,1.0
72,Aaron Cresswell,2022-01-22,West Ham,Manchester Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,52.0,73.1,2.0,0.0,1.0
73,Aaron Cresswell,2022-02-08,West Ham,Watford,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,2.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,67.0,87.0,77.0,2.0,0.0,0.0
74,Aaron Cresswell,2022-02-13,West Ham,Leicester City,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,64.0,2.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,44.0,58.0,75.9,4.0,1.0,2.0
75,Aaron Cresswell,2022-02-19,West Ham,Newcastle Utd,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,1.0,1.0,0.1,0.1,0.1,1.0,1.0,53.0,64.0,82.8,6.0,0.0,0.0
76,Aaron Cresswell,2022-02-27,West Ham,Wolves,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,2.0,3.0,0.0,0.1,0.1,0.1,2.0,0.0,50.0,66.0,75.8,2.0,0.0,0.0
77,Aaron Cresswell,2022-03-05,West Ham,Liverpool,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,51.0,66.7,3.0,0.0,1.0
78,Aaron Cresswell,2022-03-13,West Ham,Aston Villa,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,45.0,57.0,78.9,5.0,1.0,1.0
79,Aaron Cresswell,2022-03-20,West Ham,Tottenham,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,73.0,83.0,88.0,2.0,0.0,0.0
80,Aaron Cresswell,2022-04-03,West Ham,Everton,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,82.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,66.0,81.0,81.5,5.0,0.0,0.0
81,Aaron Cresswell,2022-04-10,West Ham,Brentford,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,1.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,48.0,55.0,87.3,3.0,0.0,0.0
82,Aaron Cresswell,2022-04-17,West Ham,Burnley,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,1.0,1.0,2.0,0.1,0.1,0.1,2.0,0.0,70.0,88.0,79.5,5.0,0.0,0.0
83,Aaron Cresswell,2022-04-24,West Ham,Chelsea,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,54.0,77.8,1.0,0.0,0.0
